Date,Registration Count,in State,has bid,has win,has purchase,deactivated
"Mar 1, 2026",122,119,122,86,41,0
"Feb 28, 2026",138,130,138,89,48,0
"Feb 27, 2026",101,96,101,71,40,0
"Feb 26, 2026",104,103,104,66,43,0
"Feb 25, 2026",105,104,105,65,37,1
"Feb 24, 2026",118,114,118,80,54,1
"Feb 23, 2026",177,171,177,128,71,1
"Feb 22, 2026",314,307,314,200,123,1
"Feb 21, 2026",120,119,120,79,53,0
"Feb 20, 2026",117,111,117,76,56,0
"Feb 19, 2026",120,115,120,86,61,1
"Feb 18, 2026",119,115,119,82,58,1
"Feb 17, 2026",121,115,121,82,56,2
"Feb 16, 2026",142,138,142,91,57,1
"Feb 15, 2026",132,127,132,97,72,1
"Feb 14, 2026",133,129,133,100,73,0
"Feb 13, 2026",135,130,135,94,71,2
"Feb 12, 2026",136,130,136,96,69,0
"Feb 11, 2026",118,115,118,90,66,0
"Feb 10, 2026",118,115,118,81,61,1
"Feb 9, 2026",130,127,130,96,68,0
"Feb 8, 2026",143,142,143,110,81,1
"Feb 7, 2026",137,130,137,104,83,1
"Feb 6, 2026",122,119,122,96,64,3
"Feb 5, 2026",141,138,141,97,72,0
"Feb 4, 2026",140,133,140,98,71,1
"Feb 3, 2026",132,132,132,100,75,0
"Feb 2, 2026",138,133,138,94,75,0
"Feb 1, 2026",195,186,195,138,109,0
"Jan 31, 2026",168,165,168,115,88,0
"Jan 30, 2026",128,120,128,88,56,1
"Jan 29, 2026",118,113,118,88,68,0
"Jan 28, 2026",96,92,96,71,55,0
"Jan 27, 2026",113,107,113,73,52,2
"Jan 26, 2026",127,121,127,69,44,0
"Jan 25, 2026",131,127,131,84,55,0
"Jan 24, 2026",170,164,170,122,88,0
"Jan 23, 2026",164,159,164,113,90,0
"Jan 22, 2026",142,138,142,101,68,2
"Jan 21, 2026",132,128,132,94,70,2
"Jan 20, 2026",192,189,192,147,109,1
"Jan 19, 2026",246,242,246,173,116,0
"Jan 18, 2026",245,239,245,185,128,2
"Jan 17, 2026",368,363,368,266,206,2
"Jan 16, 2026",151,150,151,98,77,0
"Jan 15, 2026",141,139,141,107,85,0
"Jan 14, 2026",151,145,151,119,89,0
"Jan 13, 2026",138,133,138,101,79,0
"Jan 12, 2026",132,127,132,105,82,1
"Jan 11, 2026",156,154,156,127,103,0
"Jan 10, 2026",152,149,152,110,88,0
"Jan 9, 2026",116,112,116,87,65,1
"Jan 8, 2026",113,110,113,82,54,1
"Jan 7, 2026",130,127,130,97,69,0
"Jan 6, 2026",131,127,131,99,73,2
"Jan 5, 2026",144,140,144,104,78,0
"Jan 4, 2026",130,125,130,97,76,1
